from	to	cor	p.adj	TME	type	p.signif
LTF	StromalScore	0.279191581198179	0.369656914592133	ESTIMATE	positive	ns
LTF	ImmuneScore	-0.565581783559765	3.41463353767008e-08	ESTIMATE	negative	****
LTF	ESTIMATEScore	-0.308200531995456	0.14379708283007	ESTIMATE	negative	ns
LTF	TumorPurity	0.306252157677272	0.152384111014979	ESTIMATE	positive	ns
LTF	B_cells_naive	-0.0253293011603234	1	CIBERSORT	negative	ns
LTF	B_cells_memory	-0.0706449043088287	1	CIBERSORT	negative	ns
LTF	Plasma_cells	0.26569689947923	0.561793843746407	CIBERSORT	positive	ns
LTF	T_cells_CD8	-0.411777464700287	0.00143882101411777	CIBERSORT	negative	**
LTF	T_cells_CD4_naive	-0.378020882596568	0.00786802404498923	CIBERSORT	negative	**
LTF	T_cells_CD4_memory_resting	-0.24134534395028	1	CIBERSORT	negative	ns
LTF	T_cells_CD4_memory_activated	-0.0731050927396266	1	CIBERSORT	negative	ns
LTF	T_cells_follicular_helper	0.0691351399580535	1	CIBERSORT	positive	ns
LTF	T_cells_regulatory_.Tregs.	-0.215168620890607	1	CIBERSORT	negative	ns
LTF	T_cells_gamma_delta	0.00702285633584392	1	CIBERSORT	positive	ns
LTF	NK_cells_resting	-0.319532749958376	0.0944943971220816	CIBERSORT	negative	ns
LTF	NK_cells_activated	NA	NA	CIBERSORT	NA	NA
LTF	Monocytes	0.25860347364298	0.679796585120932	CIBERSORT	positive	ns
LTF	Macrophages_M0	0.590926455873927	3.2629838992987e-09	CIBERSORT	positive	****
LTF	Macrophages_M1	0.288675351585576	0.269401055564346	CIBERSORT	positive	ns
LTF	Macrophages_M2	-0.0780187467236679	1	CIBERSORT	negative	ns
LTF	Dendritic_cells_resting	-0.129092625576441	1	CIBERSORT	negative	ns
LTF	Dendritic_cells_activated	-0.0864468691380346	1	CIBERSORT	negative	ns
LTF	Mast_cells_resting	0.0441510251983144	1	CIBERSORT	positive	ns
LTF	Mast_cells_activated	0.0765781968477199	1	CIBERSORT	positive	ns
LTF	Eosinophils	0.306465737042742	0.152384111014979	CIBERSORT	positive	ns
LTF	Neutrophils	0.11947768856092	1	CIBERSORT	positive	ns
CEACAM8	StromalScore	0.223493034369951	1	ESTIMATE	positive	ns
CEACAM8	ImmuneScore	-0.513781465788039	2.30502523040688e-06	ESTIMATE	negative	****
CEACAM8	ESTIMATEScore	-0.297455283139501	0.201024326952993	ESTIMATE	negative	ns
CEACAM8	TumorPurity	0.294361127068248	0.223266378291456	ESTIMATE	positive	ns
