from	to	cor	p.adj	type	p.signif
LTF	TNFA_SIGNALING_VIA_NFKB	0.0800122994142277	1	positive	ns
LTF	HYPOXIA	0.423537249224976	0.00110710786858813	positive	**
LTF	CHOLESTEROL_HOMEOSTASIS	0.664776546594012	1.81734687455129e-12	positive	****
LTF	MITOTIC_SPINDLE	0.357551429788755	0.0246913020851553	positive	*
LTF	WNT_BETA_CATENIN_SIGNALING	-0.624442980172586	1.97408532164351e-10	negative	****
LTF	TGF_BETA_SIGNALING	-0.486623330361702	2.58908977922515e-05	negative	****
LTF	IL6_JAK_STAT3_SIGNALING	0.437841032084994	0.00051899603014163	positive	**
LTF	DNA_REPAIR	-0.109458375482491	1	negative	ns
LTF	G2M_CHECKPOINT	0.412928396184332	0.00193359302141031	positive	**
LTF	APOPTOSIS	0.180217619597736	1	positive	ns
LTF	NOTCH_SIGNALING	-0.524873694563496	1.6426112139039e-06	negative	****
LTF	ADIPOGENESIS	0.580059099982557	1.64286899503747e-08	positive	****
LTF	ESTROGEN_RESPONSE_EARLY	-0.138058388000429	1	negative	ns
LTF	ESTROGEN_RESPONSE_LATE	0.485022113376977	2.86620631168393e-05	positive	****
LTF	ANDROGEN_RESPONSE	0.141512819492033	1	positive	ns
LTF	MYOGENESIS	0.225001172350956	1	positive	ns
LTF	PROTEIN_SECRETION	0.127050745364899	1	positive	ns
LTF	INTERFERON_ALPHA_RESPONSE	-0.238899331590509	1	negative	ns
LTF	INTERFERON_GAMMA_RESPONSE	-0.254613859114601	0.886282691612566	negative	ns
LTF	APICAL_JUNCTION	0.202953738732261	1	positive	ns
LTF	APICAL_SURFACE	-0.424368226139007	0.00106162806608046	negative	**
LTF	HEDGEHOG_SIGNALING	-0.230250027392087	1	negative	ns
LTF	COMPLEMENT	0.356466520139588	0.0257749418183389	positive	*
LTF	UNFOLDED_PROTEIN_RESPONSE	-0.155866440461004	1	negative	ns
LTF	PI3K_AKT_MTOR_SIGNALING	-0.0308775838819874	1	negative	ns
LTF	MTORC1_SIGNALING	0.446928817526694	0.000308290505819736	positive	**
LTF	E2F_TARGETS	0.28584178849957	0.352125923136753	positive	ns
LTF	MYC_TARGETS_V1	-0.0932780319978513	1	negative	ns
LTF	MYC_TARGETS_V2	-0.427096015402697	0.000927309855133777	negative	**
LTF	EPITHELIAL_MESENCHYMAL_TRANSITION	0.573557397825783	2.94263163884129e-08	positive	****
LTF	INFLAMMATORY_RESPONSE	0.320498616235189	0.106178515945472	positive	ns
LTF	XENOBIOTIC_METABOLISM	0.602459165117444	1.89998105293374e-09	positive	****
LTF	FATTY_ACID_METABOLISM	0.279906873981502	0.420070075058877	positive	ns
LTF	OXIDATIVE_PHOSPHORYLATION	0.21929028721234	1	positive	ns
LTF	GLYCOLYSIS	0.575227452119539	2.54327242784639e-08	positive	****
LTF	REACTIVE_OXYGEN_SPECIES_PATHWAY	0.757235552043116	1.30047263404914e-18	positive	****
LTF	P53_PATHWAY	0.0872629023861299	1	positive	ns
LTF	UV_RESPONSE_UP	0.372742896345535	0.0129190011437903	positive	*
LTF	UV_RESPONSE_DN	-0.369643962907526	0.0148836384282614	negative	*
LTF	ANGIOGENESIS	0.638133225023569	4.36205677307793e-11	positive	****
LTF	HEME_METABOLISM	0.415001036238223	0.00173532416349901	positive	**
LTF	COAGULATION	0.60408923557523	1.63366261388239e-09	positive	****
LTF	IL2_STAT5_SIGNALING	-0.193358740616675	1	negative	ns
LTF	BILE_ACID_METABOLISM	0.290818186217552	0.301573623397031	positive	ns
LTF	PEROXISOME	-0.154730609826032	1	negative	ns
LTF	ALLOGRAFT_REJECTION	-0.524565676599831	1.66915926024453e-06	negative	****
LTF	SPERMATOGENESIS	0.467910087161233	8.82151878604854e-05	positive	****
LTF	KRAS_SIGNALING_UP	0.266018658374819	0.640052276964028	positive	ns
LTF	KRAS_SIGNALING_DN	0.211785040163792	1	positive	ns
LTF	PANCREAS_BETA_CELLS	-0.425132466608793	0.0010267285734791	negative	**
CEACAM8	TNFA_SIGNALING_VIA_NFKB	0.0685283448071645	1	positive	ns
CEACAM8	HYPOXIA	0.385874045131448	0.00708229561153609	positive	**
CEACAM8	CHOLESTEROL_HOMEOSTASIS	0.639933513007048	3.55856502559087e-11	positive	****
CEACAM8	MITOTIC_SPINDLE	0.367117961245887	0.0166667135453522	positive	*
CEACAM8	WNT_BETA_CATENIN_SIGNALING	-0.610922822115158	8.21109287309418e-10	negative	****
CEACAM8	TGF_BETA_SIGNALING	-0.486476822010763	2.6045295227273e-05	negative	****
CEACAM8	IL6_JAK_STAT3_SIGNALING	0.289665305312426	0.311946600371494	positive	ns
CEACAM8	DNA_REPAIR	0.0205277591016464	1	positive	ns
CEACAM8	G2M_CHECKPOINT	0.469473756252209	8.0022034839478e-05	positive	****
CEACAM8	APOPTOSIS	0.237105229111036	1	positive	ns
CEACAM8	NOTCH_SIGNALING	-0.534989522792915	7.4924967754775e-07	negative	****
CEACAM8	ADIPOGENESIS	0.552324796512661	1.86727184874331e-07	positive	****
CEACAM8	ESTROGEN_RESPONSE_EARLY	-0.0908925004590371	1	negative	ns
CEACAM8	ESTROGEN_RESPONSE_LATE	0.510535205095473	4.81265106211714e-06	positive	****
CEACAM8	ANDROGEN_RESPONSE	0.195264711952046	1	positive	ns
CEACAM8	MYOGENESIS	0.185659371643299	1	positive	ns
CEACAM8	PROTEIN_SECRETION	0.0828201179664412	1	positive	ns
CEACAM8	INTERFERON_ALPHA_RESPONSE	-0.203412983419955	1	negative	ns
CEACAM8	INTERFERON_GAMMA_RESPONSE	-0.226644400749055	1	negative	ns
CEACAM8	APICAL_JUNCTION	0.134670664557123	1	positive	ns
CEACAM8	APICAL_SURFACE	-0.366942965253806	0.0167030232334323	negative	*
CEACAM8	HEDGEHOG_SIGNALING	-0.279391202974887	0.424122634044498	negative	ns
CEACAM8	COMPLEMENT	0.294963939530694	0.263338003357549	positive	ns
CEACAM8	UNFOLDED_PROTEIN_RESPONSE	-0.106862302173873	1	negative	ns
CEACAM8	PI3K_AKT_MTOR_SIGNALING	-0.0455931397559828	1	negative	ns
CEACAM8	MTORC1_SIGNALING	0.489809635083489	2.09384871093924e-05	positive	****
CEACAM8	E2F_TARGETS	0.366528077525994	0.016928129165475	positive	*
CEACAM8	MYC_TARGETS_V1	0.0106219275839793	1	positive	ns
CEACAM8	MYC_TARGETS_V2	-0.32466345287359	0.0909912622615495	negative	ns
CEACAM8	EPITHELIAL_MESENCHYMAL_TRANSITION	0.550756324037625	2.10958806190071e-07	positive	****
CEACAM8	INFLAMMATORY_RESPONSE	0.256008541952223	0.856419617001382	positive	ns
CEACAM8	XENOBIOTIC_METABOLISM	0.551273507793929	2.02666279287436e-07	positive	****
CEACAM8	FATTY_ACID_METABOLISM	0.341688885484462	0.047685068708236	positive	*
CEACAM8	OXIDATIVE_PHOSPHORYLATION	0.262394208744634	0.714401214949713	positive	ns
CEACAM8	GLYCOLYSIS	0.547347097195419	2.79035650311538e-07	positive	****
CEACAM8	REACTIVE_OXYGEN_SPECIES_PATHWAY	0.741793263555595	2.10731468184195e-17	positive	****
CEACAM8	P53_PATHWAY	0.125405729787106	1	positive	ns
CEACAM8	UV_RESPONSE_UP	0.386705489341957	0.00683271981419	positive	**
CEACAM8	UV_RESPONSE_DN	-0.33071303805159	0.072928912145177	negative	ns
CEACAM8	ANGIOGENESIS	0.663840105734285	2.03896941374153e-12	positive	****
CEACAM8	HEME_METABOLISM	0.42721147674068	0.000925677287188774	positive	**
CEACAM8	COAGULATION	0.541870513779818	4.36352467783887e-07	positive	****
CEACAM8	IL2_STAT5_SIGNALING	-0.211316783375285	1	negative	ns
CEACAM8	BILE_ACID_METABOLISM	0.295584524637386	0.263306079542174	positive	ns
CEACAM8	PEROXISOME	-0.0917218215562393	1	negative	ns
CEACAM8	ALLOGRAFT_REJECTION	-0.427091766988775	0.000927309855133777	negative	**
CEACAM8	SPERMATOGENESIS	0.524736675064061	1.65366221696012e-06	positive	****
CEACAM8	KRAS_SIGNALING_UP	0.242743930234525	1	positive	ns
CEACAM8	KRAS_SIGNALING_DN	0.143930137827612	1	positive	ns
CEACAM8	PANCREAS_BETA_CELLS	-0.443506350154006	0.000377331610774583	negative	**
PGLYRP1	TNFA_SIGNALING_VIA_NFKB	0.0782675409829136	1	positive	ns
PGLYRP1	HYPOXIA	0.554268679682784	1.5874229203329e-07	positive	****
PGLYRP1	CHOLESTEROL_HOMEOSTASIS	0.76686736567681	2.05548968140214e-19	positive	****
PGLYRP1	MITOTIC_SPINDLE	0.400360779238202	0.00358944898817628	positive	**
PGLYRP1	WNT_BETA_CATENIN_SIGNALING	-0.620150716005114	3.13004901169559e-10	negative	****
PGLYRP1	TGF_BETA_SIGNALING	-0.602544850719379	1.89021209738418e-09	negative	****
PGLYRP1	IL6_JAK_STAT3_SIGNALING	0.567053408271409	5.27881503848484e-08	positive	****
PGLYRP1	DNA_REPAIR	-0.204338769972993	1	negative	ns
PGLYRP1	G2M_CHECKPOINT	0.438631762802001	0.000497614419427559	positive	**
PGLYRP1	APOPTOSIS	0.0875533730099618	1	positive	ns
PGLYRP1	NOTCH_SIGNALING	-0.457354992099189	0.000167862682532804	negative	**
PGLYRP1	ADIPOGENESIS	0.633144143993075	7.65911329718416e-11	positive	****
PGLYRP1	ESTROGEN_RESPONSE_EARLY	-0.240049747216853	1	negative	ns
PGLYRP1	ESTROGEN_RESPONSE_LATE	0.421943252309574	0.00120487837068474	positive	**
PGLYRP1	ANDROGEN_RESPONSE	0.289515271627831	0.311946600371494	positive	ns
PGLYRP1	MYOGENESIS	0.214179171986485	1	positive	ns
PGLYRP1	PROTEIN_SECRETION	0.208586081439216	1	positive	ns
PGLYRP1	INTERFERON_ALPHA_RESPONSE	-0.466094574791497	9.79482910414882e-05	negative	****
PGLYRP1	INTERFERON_GAMMA_RESPONSE	-0.454233642249451	0.000201307470203806	negative	**
PGLYRP1	APICAL_JUNCTION	0.114292797866443	1	positive	ns
PGLYRP1	APICAL_SURFACE	-0.539147669989834	5.4123014934102e-07	negative	****
PGLYRP1	HEDGEHOG_SIGNALING	-0.269729688541942	0.575383611915978	negative	ns
PGLYRP1	COMPLEMENT	0.232991323394625	1	positive	ns
PGLYRP1	UNFOLDED_PROTEIN_RESPONSE	-0.26241524038706	0.714401214949713	negative	ns
