from	to	cor	p.adj
RiskScore	Apoptosis	-0.0886318203288855	0.210224410882221
RiskScore	Pyroptosis	-0.147116242261924	0.00745422514740068
RiskScore	Ferroptosis	-0.255578585479886	1.39916757329416e-07
RiskScore	Autophagy	-0.488844258667869	4.61447554464446e-29
RiskScore	Necroptosis	-0.0961369932446606	0.177137654247392
RiskScore	Cuproptosis	-0.00470454666419171	1
RiskScore	Parthanatos	-0.219859133690147	9.44521848202393e-06
RiskScore	Entotic.cell.death	-0.0122228144885331	1
RiskScore	Netotic.cell.death	0.422970317489758	3.6011185404178e-21
RiskScore	Lysosome.dependent.cell.death	-0.201798596980046	5.98550005174238e-05
RiskScore	Alkaliptosis	-0.247142474784931	3.82617273908314e-07
RiskScore	Oxeiptosis	0.0396385449302291	1
