pathways	symbol	type
Glycolysis / Gluconeogenesis	HK3	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	HK1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	HK2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	HKDC1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	GCK	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	GPI	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PFKM	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PFKP	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PFKL	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	FBP1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	FBP2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDOC	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDOA	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDOB	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	TPI1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	GAPDH	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	GAPDHS	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGK2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGK1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGAM1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGAM2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGAM4	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ENO3	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ENO2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ENO1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ENO4	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PKM	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PKLR	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PDHA2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PDHA1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PDHB	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	DLAT	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	DLD	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	LDHAL6A	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	LDHAL6B	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	LDHA	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	LDHB	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	LDHC	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ADH1A	Carbohydrate metabolism
