ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042110	GO:0042110	T cell activation	48/294	443/17913	1.05994939620987e-25	3.52009194481299e-22	3.11401975244396e-22	GATA3/NFATC2/TESPA1/TCF7/RUNX3/DPP4/PRKCQ/BCL11B/CCR6/CD7/CD3E/LCK/SLAMF6/LY9/HLA-DPA1/LEF1/LAT/ZAP70/ITK/CD81/CAMK4/NLRC3/HLA-DPB1/TBX21/GPR18/SATB1/FYN/LFNG/CD74/IL7R/CD2/RASGRP1/GPR183/SIT1/RORA/EOMES/XCL1/CD27/HLA-DMB/CCR7/RHOH/CD160/CCL5/CD8A/CD3G/THEMIS/CD3D/CLC	48
GO:0050851	GO:0050851	antigen receptor-mediated signaling pathway	35/294	224/17913	3.07447054529245e-24	5.10515834045812e-21	4.51623541679539e-21	GATA3/NFATC2/TESPA1/CD247/PRKCQ/CD3E/PLEKHA1/PVRIG/LCK/TRAC/HLA-DPA1/FCRL3/LAT/HLA-DQA1/ZAP70/ITK/CD81/HLA-DPB1/SKAP1/TXK/TRBC1/FYN/HLA-DRB5/HLA-DRB1/CCR7/CD160/CD79A/CD3G/THEMIS/PDE4B/MS4A1/HLA-DRA/CD3D/TRAT1/HLA-DQB1	35
GO:0050852	GO:0050852	T cell receptor signaling pathway	30/294	180/17913	9.61680334535056e-22	1.04660721168225e-18	9.25872273032903e-19	GATA3/TESPA1/CD247/PRKCQ/CD3E/PVRIG/LCK/TRAC/HLA-DPA1/LAT/HLA-DQA1/ZAP70/ITK/CD81/HLA-DPB1/SKAP1/TXK/TRBC1/FYN/HLA-DRB5/HLA-DRB1/CCR7/CD160/CD3G/THEMIS/PDE4B/HLA-DRA/CD3D/TRAT1/HLA-DQB1	30
GO:0030098	GO:0030098	lymphocyte differentiation	38/294	325/17913	1.26059284755465e-21	1.04660721168225e-18	9.25872273032903e-19	GATA3/NFATC2/TESPA1/TCF7/RUNX3/BCL11B/CCR6/FLT3LG/CD3E/LCK/SLAMF6/LY9/FCRL3/LEF1/ZAP70/CAMK4/TBX21/GPR18/SATB1/LFNG/CD74/IL7R/CD2/RASGRP1/GPR183/DOCK10/RORA/EOMES/CD27/CCR7/IKZF3/RHOH/CD79A/THEMIS/MS4A1/ITGA4/CD3D/BLNK	38
GO:0002429	GO:0002429	immune response-activating cell surface receptor signaling pathway	39/294	399/17913	2.24264952298174e-19	1.48956781316447e-16	1.3177336460299e-16	GATA3/NFATC2/TESPA1/CD247/PRKCQ/CD3E/PLEKHA1/PVRIG/LCK/TRAC/HLA-DPA1/FCRL3/LAT/HLA-DQA1/ZAP70/ITK/CD81/HLA-DPB1/SKAP1/TXK/TRBC1/FYN/HLA-DRB5/HLA-DRB1/CCR7/PRKACB/CD160/CD79A/CD3G/THEMIS/PDE4B/MS4A1/ICAM2/HLA-DRA/RPS6KA5/CD3D/HSP90AB1/TRAT1/HLA-DQB1	39
GO:0002768	GO:0002768	immune response-regulating cell surface receptor signaling pathway	40/294	434/17913	6.17154995657213e-19	3.41595290096267e-16	3.02189402259523e-16	GATA3/FCER1A/NFATC2/TESPA1/CD247/PRKCQ/CD3E/PLEKHA1/PVRIG/LCK/TRAC/HLA-DPA1/FCRL3/LAT/HLA-DQA1/ZAP70/ITK/CD81/HLA-DPB1/SKAP1/TXK/TRBC1/FYN/HLA-DRB5/HLA-DRB1/CCR7/PRKACB/CD160/CD79A/CD3G/THEMIS/PDE4B/MS4A1/ICAM2/HLA-DRA/RPS6KA5/CD3D/HSP90AB1/TRAT1/HLA-DQB1	40
GO:0030217	GO:0030217	T cell differentiation	30/294	234/17913	2.13851628770871e-18	1.01457322735438e-15	8.97533678044362e-16	GATA3/NFATC2/TESPA1/TCF7/RUNX3/BCL11B/CCR6/CD3E/LCK/SLAMF6/LY9/LEF1/ZAP70/CAMK4/TBX21/GPR18/SATB1/LFNG/CD74/IL7R/CD2/RASGRP1/GPR183/RORA/EOMES/CD27/CCR7/RHOH/THEMIS/CD3D	30
GO:0002521	GO:0002521	leukocyte differentiation	41/294	485/17913	4.96014914293175e-18	2.05908191295954e-15	1.82154950762139e-15	GATA3/NFATC2/TESPA1/TCF7/RUNX3/BCL11B/CCR6/FLT3LG/CD3E/LCK/SLAMF6/LY9/FCRL3/LEF1/ZAP70/CD81/CAMK4/TBX21/GPR18/SATB1/PARP1/LFNG/CD74/IL7R/CD2/RASGRP1/GPR183/DOCK10/RORA/EOMES/CD27/CCR7/IKZF3/RHOH/CD79A/THEMIS/MS4A1/ITGA4/CSF1R/CD3D/BLNK	41
GO:0051249	GO:0051249	regulation of lymphocyte activation	34/294	401/17913	3.92667498899822e-15	1.44894307094034e-12	1.28179530927415e-12	GATA3/NFATC2/TESPA1/RUNX3/DPP4/PRKCQ/FLT3LG/CD3E/LCK/HLA-DPA1/FCRL3/LAT/ZAP70/CD81/CAMK4/HLA-DPB1/TBX21/FYN/CD74/IL7R/CD2/RASGRP1/GPR183/SIT1/XCL1/CD27/HLA-DMB/CCR7/IKZF3/CD160/CCL5/SLC39A10/BANK1/CLC	34
GO:0051251	GO:0051251	positive regulation of lymphocyte activation	27/294	258/17913	1.94000707151898e-14	6.44276348451454e-12	5.69953656485209e-12	GATA3/NFATC2/TESPA1/RUNX3/DPP4/PRKCQ/FLT3LG/CD3E/LCK/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/TBX21/FYN/CD74/IL7R/RASGRP1/GPR183/XCL1/CD27/HLA-DMB/CCR7/CD160/CCL5/SLC39A10	27
GO:1903039	GO:1903039	positive regulation of leukocyte cell-cell adhesion	24/294	214/17913	1.25824660100247e-13	3.79876087448109e-11	3.36054187884965e-11	GATA3/TESPA1/RUNX3/DPP4/PRKCQ/ETS1/CD3E/LCK/HLA-DPA1/ZAP70/CD81/HLA-DPB1/SKAP1/FYN/CD74/IL7R/RASGRP1/XCL1/CD27/HLA-DMB/CCR7/CD160/CCL5/ITGA4	24
