logFC	AveExpr	t	P.Value	adj.P.Val	B
MCEMP1	4.16705130452245	9.83797430797209	24.2919898228843	1.01856225452868e-45	2.09304357683098e-41	93.409029547862
S100A9	1.48039747513447	13.4667382768773	22.8581714809809	2.58827832493424e-43	2.65932656495369e-39	87.981874102838
IRAK3	2.91473937552254	7.58723877101094	22.5832323123073	7.68464457149647e-43	5.26372537665603e-39	86.9137942151076
CCN3	-1.62095834810627	4.17203088862704	-22.2718595935452	2.66329173058867e-42	1.36819954429667e-38	85.693284294932
S100A12	3.18230597064401	12.2715400915056	21.0634059809456	3.69079157050425e-40	1.51684151964584e-36	80.8447709032817
ANXA3	4.11779188305081	9.74918177428746	20.9017353193072	7.23398026086071e-40	2.47751767300711e-36	80.1824351328847
TLR5	2.25741113181591	8.51780248014428	20.5112305732459	3.72377199977911e-39	1.09313986890659e-35	78.5690744820054
SLC26A8	2.27010647674446	5.93291387257518	19.5113455041637	2.69225596172564e-37	6.91539596968752e-34	74.3497906587713
SEPTIN9	-1.39632910490014	6.12859590543811	-19.3004269201709	6.74802739513282e-37	1.54072461047316e-33	73.4433735834709
ESYT1	-1.79390342490782	7.26741550480464	-19.0286948609103	2.22263191387606e-36	4.56728631982391e-33	72.2671277038348
RNASE2	3.09600089807096	9.88311738534517	18.8992233487081	3.93503683698329e-36	7.35100654210634e-33	71.7033155302223
NOG	-1.82689415038561	3.19792155145182	-18.8406533770839	5.09889994079652e-36	8.73144124028564e-33	71.4475441319936
ABLIM1	-1.71048643087433	6.06582549417134	-18.8052757284806	5.96398993087909e-36	9.42723300689496e-33	71.2928360516498
SPOCK2	-1.56104673664988	6.33453826822779	-18.5962138881274	1.51055482102324e-35	2.21717078694332e-32	70.3752733394557
GATA3	-1.67490444762638	4.44659119653335	-18.3749708055052	4.06318413036881e-35	5.56629137966325e-32	69.3980450070738
CNIH4	1.40832565335441	7.41658386337274	18.1131162868604	1.32116689381624e-34	1.69679115631437e-31	68.2331842690465
FCER1G	1.91890593555154	10.9781378802397	17.9509474126247	2.7541908751302e-34	3.18376052074208e-31	67.5072871166577
FCER1A	-1.88432262275375	3.61721964974365	-17.948194585436	2.78883105617585e-34	3.18376052074208e-31	67.4949353285896
USP11	-1.29103399315006	6.6135933231694	-17.8669217767829	4.03523114608702e-34	4.36420867478643e-31	67.1298228383768
IL2RB	-2.44904334410559	7.54444632258444	-17.5242106288351	1.93393263512929e-33	1.98701908596359e-30	65.5807362659802
BTBD11	-1.35020183804866	3.6972835225796	-17.4768955782193	2.40386568483512e-33	2.32931149206486e-30	65.3656646677482
FAM102A	-1.03314523118249	4.86672364507087	-17.4689133720169	2.49378815637875e-33	2.32931149206486e-30	65.3293526232014
RBM15B	-0.681655254743468	5.66798021141699	-17.3779363307911	3.79218780466376e-33	3.38807248687111e-30	64.9149006028344
GYG1	2.82418123167673	10.4669199126495	17.0898151730689	1.44004570173919e-32	1.23297913020994e-29	63.5952430717719
MAN1C1	-1.43514824670015	4.20939253033677	-17.0779134874624	1.52198965476571e-32	1.23843826986922e-29	63.5404989478734
YME1L1	-0.779699922368673	5.09971431668849	-17.0716534150342	1.56695678702612e-32	1.23843826986922e-29	63.5116971533646
UPP1	2.04935025156541	8.70287832865806	16.8906128392064	3.64491488196452e-32	2.77405021886996e-29	62.6765566523418
SF3A1	-0.851713219528976	6.90381181285201	-16.8630820830635	4.14570014230843e-32	3.04249972229628e-29	62.549185830036
SEPTIN6	-1.33623295914775	6.52904918369668	-16.8337650931493	4.75533917296571e-32	3.36956774707836e-29	62.4134433748072
GSE1	-1.01289469392503	5.31575761944273	-16.7784803105459	6.16126140921349e-32	4.22025868993093e-29	62.1571639459518
KLHL3	-0.695371019746205	3.45113143355762	-16.7559443692402	6.84812186714931e-32	4.53942116929197e-29	62.0525827120197
HNRNPA0	-1.03540696123493	5.87315762934637	-16.7334460880897	7.6106941081455e-32	4.88725478838381e-29	61.9481109521361
FCMR	-2.01763687175294	7.25052987078246	-16.6508250117809	1.12214135799742e-31	6.98754023196633e-29	61.5638971799376
SUN2	-0.806974815778619	7.726682150802	-16.6183884478206	1.30722331299997e-31	7.77478384684784e-29	61.4128170166397
PATZ1	-0.52894342148813	4.62266907865059	-16.6116121518354	1.34960959852816e-31	7.77478384684784e-29	61.3812379107479
NFATC2	-1.04680188563506	4.9270127740432	-16.6096604324939	1.36207221026095e-31	7.77478384684784e-29	61.372141353266
DENND2D	-0.852853532917782	5.66018430365774	-16.5918687660052	1.48115360510096e-31	8.22600687330258e-29	61.2891955431805
PGS1	1.69089846478113	8.71235187109487	16.5336378007542	1.94919454152728e-31	1.05405259562748e-28	61.0174352222607
FCAR	2.04360732815074	6.62794706349318	16.4849896846777	2.45259676433562e-31	1.29226694641879e-28	60.7900641592162
CD5	-1.0696534003315	5.87535815102567	-16.4549190676745	2.8272310906602e-31	1.45241929204941e-28	60.6493688637088
CD177	5.58312605223021	9.39402337808877	16.3194377046851	5.37171358611952e-31	2.69227664588219e-28	60.0140415216278
