ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042119	GO:0042119	neutrophil activation	84/367	499/17913	6.17401007063471e-53	2.22387842744262e-49	1.9165427050844e-49	MCEMP1/S100A9/S100A12/ANXA3/RNASE2/FCER1G/GYG1/FCAR/CD177/CR1/MAPK14/SLC2A3/CD63/VNN1/HK3/SERPINB1/IL18RAP/PYGL/MMP9/CLEC4D/HP/PGLYRP1/ARG1/ADGRG3/CD55/CKAP4/OSCAR/MMP8/LRG1/BST1/MGST1/STOM/S100P/CD59/QPCT/CYSTM1/ATP11B/CD58/GPR84/RAB27A/SIGLEC9/SIGLEC5/RETN/GGH/MGAM/BPI/RNASE3/IL18/PGM2/TNFAIP6/C3AR1/GCA/GMFG/CTSD/TCN1/GNS/LCN2/CLEC5A/SLPI/OLFM4/CRISP3/LTF/ORM1/CEACAM8/CEACAM1/ATP8B4/FABP5/PLAC8/FOLR3/PTX3/CHIT1/HPSE/DEFA1/ELANE/CAMP/DEFA4/AZU1/MPO/CEACAM6/PRTN3/MS4A3/SERPINB10/CTSG/OLR1	84
GO:0043312	GO:0043312	neutrophil degranulation	82/367	485/17913	8.8511008820872e-52	1.59408326886391e-48	1.3737840263829e-48	MCEMP1/S100A9/S100A12/ANXA3/RNASE2/FCER1G/GYG1/FCAR/CD177/CR1/MAPK14/SLC2A3/CD63/VNN1/HK3/SERPINB1/PYGL/MMP9/CLEC4D/HP/PGLYRP1/ARG1/ADGRG3/CD55/CKAP4/OSCAR/MMP8/LRG1/BST1/MGST1/STOM/S100P/CD59/QPCT/CYSTM1/ATP11B/CD58/GPR84/RAB27A/SIGLEC9/SIGLEC5/RETN/GGH/MGAM/BPI/RNASE3/PGM2/TNFAIP6/C3AR1/GCA/GMFG/CTSD/TCN1/GNS/LCN2/CLEC5A/SLPI/OLFM4/CRISP3/LTF/ORM1/CEACAM8/CEACAM1/ATP8B4/FABP5/PLAC8/FOLR3/PTX3/CHIT1/HPSE/DEFA1/ELANE/CAMP/DEFA4/AZU1/MPO/CEACAM6/PRTN3/MS4A3/SERPINB10/CTSG/OLR1	82
GO:0002283	GO:0002283	neutrophil activation involved in immune response	82/367	488/17913	1.46563645030417e-51	1.75974083133187e-48	1.5165480322621e-48	MCEMP1/S100A9/S100A12/ANXA3/RNASE2/FCER1G/GYG1/FCAR/CD177/CR1/MAPK14/SLC2A3/CD63/VNN1/HK3/SERPINB1/PYGL/MMP9/CLEC4D/HP/PGLYRP1/ARG1/ADGRG3/CD55/CKAP4/OSCAR/MMP8/LRG1/BST1/MGST1/STOM/S100P/CD59/QPCT/CYSTM1/ATP11B/CD58/GPR84/RAB27A/SIGLEC9/SIGLEC5/RETN/GGH/MGAM/BPI/RNASE3/PGM2/TNFAIP6/C3AR1/GCA/GMFG/CTSD/TCN1/GNS/LCN2/CLEC5A/SLPI/OLFM4/CRISP3/LTF/ORM1/CEACAM8/CEACAM1/ATP8B4/FABP5/PLAC8/FOLR3/PTX3/CHIT1/HPSE/DEFA1/ELANE/CAMP/DEFA4/AZU1/MPO/CEACAM6/PRTN3/MS4A3/SERPINB10/CTSG/OLR1	82
GO:0002446	GO:0002446	neutrophil mediated immunity	82/367	499/17913	9.02519530469002e-51	8.12718837187337e-48	7.00402656671865e-48	MCEMP1/S100A9/S100A12/ANXA3/RNASE2/FCER1G/GYG1/FCAR/CD177/CR1/MAPK14/SLC2A3/CD63/VNN1/HK3/SERPINB1/PYGL/MMP9/CLEC4D/HP/PGLYRP1/ARG1/ADGRG3/CD55/CKAP4/OSCAR/MMP8/LRG1/BST1/MGST1/STOM/S100P/CD59/QPCT/CYSTM1/ATP11B/CD58/GPR84/RAB27A/SIGLEC9/SIGLEC5/RETN/GGH/MGAM/BPI/RNASE3/PGM2/TNFAIP6/C3AR1/GCA/GMFG/CTSD/TCN1/GNS/LCN2/CLEC5A/SLPI/OLFM4/CRISP3/LTF/ORM1/CEACAM8/CEACAM1/ATP8B4/FABP5/PLAC8/FOLR3/PTX3/CHIT1/HPSE/DEFA1/ELANE/CAMP/DEFA4/AZU1/MPO/CEACAM6/PRTN3/MS4A3/SERPINB10/CTSG/OLR1	82
GO:0006959	GO:0006959	humoral immune response	27/367	276/17913	1.91623718037626e-11	1.38045726474306e-08	1.18968072524834e-08	S100A9/S100A12/CR1/PGLYRP1/CD55/BST1/CD59/BPI/RNASE3/C3AR1/CR1L/LCN2/SLPI/VSIG4/LTF/C1QB/PROS1/DEFA1/ELANE/CAMP/C1QA/DEFA4/AZU1/C1QC/PRTN3/CTSG/JCHAIN	27
GO:0042742	GO:0042742	defense response to bacterium	24/367	245/17913	2.53119133380057e-10	1.51955853072494e-07	1.30955846375051e-07	S100A9/S100A12/ANXA3/TLR5/NLRC4/CLEC4D/HMGB2/HP/PGLYRP1/BPI/RNASE3/CLEC4E/LCN2/SLPI/LTF/PLAC8/IL10/DEFA1/ELANE/CAMP/DEFA4/AZU1/CTSG/JCHAIN	24
GO:0019730	GO:0019730	antimicrobial humoral response	16/367	106/17913	4.80718106249947e-10	2.47363802673187e-07	2.13178600801668e-07	S100A9/S100A12/PGLYRP1/BPI/RNASE3/LCN2/SLPI/LTF/DEFA1/ELANE/CAMP/DEFA4/AZU1/PRTN3/CTSG/JCHAIN	16
GO:0050727	GO:0050727	regulation of inflammatory response	32/367	479/17913	4.7825715984231e-09	2.07730406326341e-06	1.79022463618568e-06	S100A9/S100A12/FCER1G/CR1/MAPK14/IL1R2/CST7/MMP9/PGLYRP1/JAK2/LILRA5/CD55/MMP8/BST1/CD59/IL18/IL1R1/TNFAIP6/C3AR1/CR1L/VSIG4/ANXA1/C1QB/HGF/IL10/C5orf30/PROS1/ELANE/C1QA/SUCNR1/C1QC/WFDC1	32
GO:0098542	GO:0098542	defense response to other organism	32/367	481/17913	5.28894572056165e-09	2.07730406326341e-06	1.79022463618568e-06	S100A9/S100A12/ANXA3/TLR5/RNASE2/NLRC4/CLEC4D/HMGB2/HP/PGLYRP1/ARG1/BPI/RNASE3/AIM2/CLEC4E/EXOSC4/PLSCR1/LCN2/SLPI/LTF/PLAC8/IL10/DEFA1/ELANE/CAMP/DEFA4/AZU1/MPO/CTSG/APOBEC3B/JCHAIN/IFI27	32
GO:0002237	GO:0002237	response to molecule of bacterial origin	25/367	309/17913	5.76708512843811e-09	2.07730406326341e-06	1.79022463618568e-06	IRAK3/MAPK14/TSPO/HMGB2/JAK2/ADM/ADAM9/ARG1/ALPL/CD55/MGST1/IL18/CARD16/LCN2/SLPI/LY96/LTF/HPGD/CD24/IL10/ELANE/CHMP5/MPO/GJB6/CTSG	25
