from	to	cor	p.adj
RiskScore	TNFA_SIGNALING_VIA_NFKB	-0.113116218567374	0.225137693466301
RiskScore	HYPOXIA	-0.0152476106223124	1
RiskScore	CHOLESTEROL_HOMEOSTASIS	0.217006465031445	4.73507814739353e-05
RiskScore	MITOTIC_SPINDLE	0.227958799587114	1.4693641973101e-05
RiskScore	WNT_BETA_CATENIN_SIGNALING	-0.317707801735037	4.30084890707659e-11
RiskScore	TGF_BETA_SIGNALING	-0.185834723173991	0.00102523238404306
RiskScore	IL6_JAK_STAT3_SIGNALING	-0.173668536343256	0.00306867588523489
RiskScore	DNA_REPAIR	0.30058505749496	6.84483803065109e-10
RiskScore	G2M_CHECKPOINT	0.444719194876915	5.96459616726313e-23
RiskScore	APOPTOSIS	0.0345584850227606	1
RiskScore	NOTCH_SIGNALING	-0.315149663699823	6.49056416537361e-11
RiskScore	ADIPOGENESIS	0.33128214837851	4.14279270577764e-12
RiskScore	ESTROGEN_RESPONSE_EARLY	-0.0415109440450888	1
RiskScore	ESTROGEN_RESPONSE_LATE	0.360371942102633	1.67632297088554e-14
RiskScore	ANDROGEN_RESPONSE	0.0560697340851041	1
RiskScore	MYOGENESIS	-0.0317229504971895	1
RiskScore	PROTEIN_SECRETION	0.093145565939596	0.623705528298604
RiskScore	INTERFERON_ALPHA_RESPONSE	-0.205466323280212	0.000156594074200415
RiskScore	INTERFERON_GAMMA_RESPONSE	-0.212244081464342	7.7797212290989e-05
RiskScore	APICAL_JUNCTION	-0.103054980825016	0.385547246958489
RiskScore	APICAL_SURFACE	-0.194154769434769	0.000469406636359272
RiskScore	HEDGEHOG_SIGNALING	-0.247393536077995	1.39922781304875e-06
RiskScore	COMPLEMENT	-0.196665913746759	0.000378272594640518
RiskScore	UNFOLDED_PROTEIN_RESPONSE	0.223234470369882	2.47989155081344e-05
RiskScore	PI3K_AKT_MTOR_SIGNALING	-0.219971656587647	3.49663603550797e-05
RiskScore	MTORC1_SIGNALING	0.416453123089058	7.61304387118556e-20
RiskScore	E2F_TARGETS	0.440893993706289	1.60981665556829e-22
RiskScore	MYC_TARGETS_V1	0.372970419741096	1.30069913259762e-15
RiskScore	MYC_TARGETS_V2	0.0856000075654199	0.753859050644534
RiskScore	EPITHELIAL_MESENCHYMAL_TRANSITION	0.152962978328311	0.015656472471948
RiskScore	INFLAMMATORY_RESPONSE	-0.23175045680308	9.62044684492945e-06
RiskScore	XENOBIOTIC_METABOLISM	0.115729255606396	0.202542286792693
RiskScore	FATTY_ACID_METABOLISM	0.319502134389615	3.23679821317984e-11
RiskScore	OXIDATIVE_PHOSPHORYLATION	0.37661827762668	6.1703972234915e-16
RiskScore	GLYCOLYSIS	0.314745978842125	6.77290333335653e-11
RiskScore	REACTIVE_OXYGEN_SPECIES_PATHWAY	0.405317429135221	1.05716862064451e-18
RiskScore	P53_PATHWAY	-0.163751326231313	0.00703234734271282
RiskScore	UV_RESPONSE_UP	0.274963220125408	3.26475287871868e-08
RiskScore	UV_RESPONSE_DN	-0.0915295846840078	0.63369521387883
RiskScore	ANGIOGENESIS	0.156156567040403	0.0126851605235183
RiskScore	HEME_METABOLISM	0.286409174863496	6.11961804617016e-09
RiskScore	COAGULATION	0.0115613717170196	1
RiskScore	IL2_STAT5_SIGNALING	0.0669575070531121	1
RiskScore	BILE_ACID_METABOLISM	0.0231932491819803	1
RiskScore	PEROXISOME	0.00448345960815839	1
RiskScore	ALLOGRAFT_REJECTION	-0.147308320240705	0.0232556421548639
RiskScore	SPERMATOGENESIS	0.461929756405795	5.41544146442887e-25
RiskScore	KRAS_SIGNALING_UP	0.0742783892141373	1
RiskScore	KRAS_SIGNALING_DN	-0.0866837713135658	0.753859050644534
RiskScore	PANCREAS_BETA_CELLS	-0.0749295150275846	1
