Gene	Module
OLFM4	blue
MMP8	blue
LCN2	blue
HP	blue
OLAH	blue
CD177	blue
GPR84	blue
CEACAM8	blue
LTF	blue
CRISP3	blue
TCN1	blue
PCOLCE2	blue
HPGD	blue
CLEC4D	blue
ANKRD22	blue
KDM5D	blue
METTL7B	blue
FGF13	blue
CD163	blue
ZDHHC19	blue
CD24	blue
RGL4	blue
IL18R1	blue
DHRS9	blue
CYSTM1	blue
LRRN1	blue
GADD45A	blue
BPI	blue
VNN1	blue
TDRD9	blue
ANXA3	blue
ORM1	blue
ST6GALNAC3	blue
SAMSN1	blue
DACH1	blue
PTX3	blue
C5orf30	blue
FKBP5	blue
CYP1B1	blue
BMX	blue
MS4A4A	blue
UGCG	blue
PFKFB2	blue
SLPI	blue
MMP9	blue
MCEMP1	blue
HTATSF1P2	blue
DDX3Y	blue
CCL5	blue
TP53I3	blue
SORT1	blue
FAM20A	blue
TMTC1	blue
DPY19L3	blue
LINC00266-1	blue
KCNE1	blue
PFKFB3	blue
TMEM176A	blue
GYG1	blue
CSGALNACT2	blue
GPR42	blue
CAMP	blue
OPLAH	blue
ATP11B	blue
TUBB2A	blue
ADGRE1	blue
IL10RB-DT	blue
CA4	blue
ERLIN1	blue
ITGA7	blue
CHI3L1	blue
LY96	blue
LINC02656	blue
LINC00877	blue
GALNT14	blue
MGAM	blue
ATP9A	blue
C3AR1	blue
ALPL	blue
HK3	blue
SULT1B1	blue
ANKRD55	blue
CASP5	blue
KLHL2	blue
TNFAIP6	blue
ASPH	blue
ACER3	blue
TSPAN2	blue
IL18RAP	blue
NLRC4	blue
LOC441081	blue
CXCL8	blue
VSTM1	blue
MAP3K7CL	blue
C8orf88	blue
FCGR1B	blue
NME8	blue
CCNA1	blue
CLEC4E	blue
LINC01094	blue
NAIP	blue
DDAH2	blue
HPSE	blue
MAN1A1	blue
NRN1	blue
PGLYRP1	blue
S100P	blue
MEF2A	blue
SERPINB1	blue
MAP2K6	blue
WIPI1	blue
AIM2	blue
PSTPIP2	blue
LOC101928429	blue
IL1R1	blue
FCAR	blue
HIST1H2BD	blue
HIST1H4D	blue
GSEC	blue
UPP1	blue
GJB6	blue
FAM89A	blue
BST1	blue
SLC37A3	blue
CD59	blue
POMZP3	blue
ARG1	blue
DDX11L2	blue
RNASE2	blue
SIPA1L2	blue
CYYR1	blue
GTF2IP12	blue
FCGR1A	blue
CSTA	blue
F5	blue
FGD4	blue
LILRA3	blue
GMFG	blue
FAR2	blue
C4BPA	blue
RAB13	blue
RP2	blue
ANXA1	blue
SERPINB10	blue
MILR1	blue
SSBP3	blue
CR1	blue
AGFG1	blue
LRG1	blue
ZNF438	blue
LILRA5	blue
HIST1H2AD	blue
CD274	blue
SGMS2	blue
FOLR3	blue
ZNF354A	blue
TMEM176B	blue
MARC1	blue
EXOC6	blue
MAPK14	blue
IRAK3	blue
STOM	blue
CST7	blue
PAM	blue
PECR	blue
ECRP	blue
FCER1G	blue
SLC22A4	blue
CLEC12A	blue
CDK5RAP2	blue
PIWIL4	blue
ANKS1A	blue
TSHZ3	blue
RBX1	blue
ACSL4	blue
SPTLC2	blue
CSGALNACT1	blue
GAS7	blue
METTL9	blue
PET100	blue
COL17A1	blue
CPA3	blue
RAB32	blue
PADI4	blue
SLC2A3	blue
CHPT1	blue
ADGRG3	blue
ADORA3	blue
S100A12	blue
NSUN7	blue
KCNJ15	blue
CD55	blue
MT-ND2	blue
GK3P	blue
CARD6	blue
IDNK	blue
PGS1	blue
ADM	blue
ADAM9	blue
CARD8-AS1	blue
CKAP4	blue
SLC22A15	blue
MCTP1	blue
RNF146	blue
LAMTOR5	blue
SHOC1	blue
MARCO	blue
OSCAR	blue
C9orf72	blue
KISS1R	blue
GCNA	blue
B3GNT5	blue
VNN2	blue
GCA	blue
DRAM1	blue
GPAT3	blue
NDUFAF1	blue
HIST1H2BH	blue
TLR5	blue
ALCAM	blue
HSH2D	blue
SLC2A14	blue
TSPO	blue
CD58	blue
CEBPD	blue
SLC49A4	blue
INSC	blue
C1orf162	blue
CYBRD1	blue
CLK4	blue
TIMP1	blue
GBE1	blue
GRAMD1A	blue
SLC16A3	blue
ASGR2	blue
HIST2H2BE	blue
BCL6	blue
LTB4R	blue
POR	blue
UCP2	blue
WSB1	blue
PRDM5	blue
BIK	blue
TXN	blue
STXBP5	blue
TMEM120A	blue
HIST1H2BE	blue
ANG	blue
TBC1D8	blue
PROK2	blue
TLR8	blue
CTSL	blue
STEAP4	blue
ACOT13	blue
ETS2	blue
LACTB	blue
NDUFB3	blue
UTY	blue
STXBP3	blue
FLOT2	blue
PDZD8	blue
H2BFS	blue
IFNGR1	blue
FPR2	blue
PNPLA1	blue
JAK2	blue
RNF144B	blue
ARHGAP18	blue
PAPSS1	blue
IL4R	blue
PPDPF	blue
GSR	blue
MCTP2	blue
EMILIN2	blue
PYGL	blue
ACP5	blue
ANO10	blue
VWA5A	blue
TIFA	blue
GNS	blue
SIGLEC5	blue
TPK1	blue
SOCS3	blue
CAPG	blue
HIST1H2AG	blue
LAIR1	blue
SPATA1	blue
GM2A	blue
IER3	blue
HIST1H2BF	blue
CTSA	blue
NFIL3	blue
PHTF1	blue
TMEM260	blue
KIR3DL2	blue
PAG1	blue
LOC114224	blue
CARD16	blue
CTSD	blue
GK	blue
TLR4	blue
MFHAS1	blue
ENTPD1	blue
WDFY3	blue
TRPS1	blue
EXT1	blue
DHRS13	blue
TIGD3	blue
MANSC1	blue
ZNF230	blue
DYSF	blue
CNNM3	blue
MGST1	blue
ALPK1	blue
PPP1R3D	blue
TMEM33	blue
PGK1	blue
TUBBP5	blue
LPCAT2	blue
FAM228B	blue
ADAM10	blue
PRR5	blue
CNEP1R1	blue
AK4P1	blue
LOC102724587	blue
FAM200B	blue
CD63	blue
CSF2RA	blue
COL4A3BP	blue
LMNB1	blue
