ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
hsa04640	hsa04640	Hematopoietic cell lineage	7/93	98/7914	0.000142964906865965	0.0214192314725304	0.0189140582008894	IL1R1/FCGR1A/CR1/CD59/CD55/CD24/CSF2RA	7	pathway_KEGG	0.0752688172043011
hsa05152	hsa05152	Tuberculosis	9/93	179/7914	0.000237991460805893	0.0214192314725304	0.0189140582008894	IL18/FCGR1A/CTSD/JAK2/CR1/FCER1G/CLEC4E/IFNGR1/MAPK14	9	pathway_KEGG	0.0967741935483871
hsa05134	hsa05134	Legionellosis	5/93	56/7914	0.00047874981527254	0.0284214768769449	0.0250973275346122	IL18/TLR5/NAIP/NLRC4/CR1	5	pathway_KEGG	0.0537634408602151
hsa04380	hsa04380	Osteoclast differentiation	7/93	128/7914	0.000734519457390647	0.0284214768769449	0.0250973275346122	IL1R1/FCGR1A/OSCAR/IFNGR1/MAPK14/MAP2K6/LILRA5	7	pathway_KEGG	0.0752688172043011
hsa00500	hsa00500	Starch and sucrose metabolism	4/93	36/7914	0.000789485468804026	0.0284214768769449	0.0250973275346122	HK3/GYG1/PYGL/MGAM	4	pathway_KEGG	0.043010752688172
hsa05321	hsa05321	Inflammatory bowel disease (IBD)	5/93	65/7914	0.000952764492603534	0.028582934778106	0.0252399014707252	IL18/TLR5/IL18RAP/IFNGR1/IL18R1	5	pathway_KEGG	0.0537634408602151
hsa05140	hsa05140	Leishmaniasis	5/93	76/7914	0.00192581320491347	0.0483093528463825	0.0426591361392032	FCGR1A/JAK2/CR1/IFNGR1/MAPK14	5	pathway_KEGG	0.0537634408602151
hsa04610	hsa04610	Complement and coagulation cascades	5/93	79/7914	0.00228540399373441	0.0483093528463825	0.0426591361392032	CR1/C3AR1/CD59/CD55/F5	5	pathway_KEGG	0.0537634408602151
hsa05132	hsa05132	Salmonella infection	5/93	80/7914	0.00241546764231912	0.0483093528463825	0.0426591361392032	IL18/TLR5/NLRC4/IFNGR1/MAPK14	5	pathway_KEGG	0.0537634408602151
GO:0042119	GO:0042119	neutrophil activation	57/158	499/17913	3.61599257236353e-48	9.260556977823e-45	7.45275100703978e-45	MMP9/ADGRG3/PGLYRP1/MCEMP1/FCAR/IL18/BST1/VNN1/CD177/LTF/CTSD/S100A12/S100A9/SERPINB1/CD63/ANXA3/GCA/SLPI/CLEC4D/LCN2/ARG1/MMP8/CEACAM8/HP/CR1/BPI/OLFM4/CRISP3/C3AR1/FCER1G/SIGLEC9/OSCAR/GPR84/CD59/CD55/SIGLEC5/CD58/SLC2A3/FOLR3/TCN1/CKAP4/CYSTM1/TNFAIP6/QPCT/IL18RAP/STOM/RNASE2/HK3/MAPK14/PTX3/MGST1/GYG1/PYGL/MGAM/ORM1/LRG1/S100P	57	geneontology_Biological_Process	0.360759493670886
GO:0043312	GO:0043312	neutrophil degranulation	55/158	485/17913	3.47001483674104e-46	4.17042753925465e-43	3.35629467184307e-43	MMP9/ADGRG3/PGLYRP1/MCEMP1/FCAR/BST1/VNN1/CD177/LTF/CTSD/S100A12/S100A9/SERPINB1/CD63/ANXA3/GCA/SLPI/CLEC4D/LCN2/ARG1/MMP8/CEACAM8/HP/CR1/BPI/OLFM4/CRISP3/C3AR1/FCER1G/SIGLEC9/OSCAR/GPR84/CD59/CD55/SIGLEC5/CD58/SLC2A3/FOLR3/TCN1/CKAP4/CYSTM1/TNFAIP6/QPCT/STOM/RNASE2/HK3/MAPK14/PTX3/MGST1/GYG1/PYGL/MGAM/ORM1/LRG1/S100P	55	geneontology_Biological_Process	0.348101265822785
GO:0002283	GO:0002283	neutrophil activation involved in immune response	55/158	488/17913	4.88531144777975e-46	4.17042753925465e-43	3.35629467184307e-43	MMP9/ADGRG3/PGLYRP1/MCEMP1/FCAR/BST1/VNN1/CD177/LTF/CTSD/S100A12/S100A9/SERPINB1/CD63/ANXA3/GCA/SLPI/CLEC4D/LCN2/ARG1/MMP8/CEACAM8/HP/CR1/BPI/OLFM4/CRISP3/C3AR1/FCER1G/SIGLEC9/OSCAR/GPR84/CD59/CD55/SIGLEC5/CD58/SLC2A3/FOLR3/TCN1/CKAP4/CYSTM1/TNFAIP6/QPCT/STOM/RNASE2/HK3/MAPK14/PTX3/MGST1/GYG1/PYGL/MGAM/ORM1/LRG1/S100P	55	geneontology_Biological_Process	0.348101265822785
GO:0002446	GO:0002446	neutrophil mediated immunity	55/158	499/17913	1.67887623123509e-45	1.07490050704826e-42	8.65063068620605e-43	MMP9/ADGRG3/PGLYRP1/MCEMP1/FCAR/BST1/VNN1/CD177/LTF/CTSD/S100A12/S100A9/SERPINB1/CD63/ANXA3/GCA/SLPI/CLEC4D/LCN2/ARG1/MMP8/CEACAM8/HP/CR1/BPI/OLFM4/CRISP3/C3AR1/FCER1G/SIGLEC9/OSCAR/GPR84/CD59/CD55/SIGLEC5/CD58/SLC2A3/FOLR3/TCN1/CKAP4/CYSTM1/TNFAIP6/QPCT/STOM/RNASE2/HK3/MAPK14/PTX3/MGST1/GYG1/PYGL/MGAM/ORM1/LRG1/S100P	55	geneontology_Biological_Process	0.348101265822785
GO:0042742	GO:0042742	defense response to bacterium	15/158	245/17913	4.6268272764711e-09	2.3698609310085e-06	1.9072269068064e-06	PGLYRP1/TLR5/NLRC4/LTF/S100A12/S100A9/ANXA3/SLPI/CLEC4D/LCN2/HP/BPI/CLEC4E/HMGB2/H2BS1	15	geneontology_Biological_Process	0.0949367088607595
GO:0002237	GO:0002237	response to molecule of bacterial origin	16/158	309/17913	1.51185041186813e-08	6.45308150799049e-06	5.19333878322423e-06	ADAM9/ADM/IL18/ALPL/LTF/SLPI/LCN2/ARG1/JAK2/CD55/TSPO/CD24/IRAK3/MAPK14/MGST1/HMGB2	16	geneontology_Biological_Process	0.10126582278481
GO:0002367	GO:0002367	cytokine production involved in immune response	10/158	101/17913	2.06718395054192e-08	6.66615312578995e-06	5.36481547927278e-06	IL18/IL1R1/ARG1/BCL6/FCER1G/CD55/IRAK3/IL18RAP/MAPK14/IL18R1	10	geneontology_Biological_Process	0.0632911392405063
GO:0035743	GO:0035743	CD4-positive, alpha-beta T cell cytokine production	6/158	21/17913	2.08235943015695e-08	6.66615312578995e-06	5.36481547927278e-06	IL18/IL1R1/ARG1/CD55/IL18RAP/IL18R1	6	geneontology_Biological_Process	0.0379746835443038
GO:0050727	GO:0050727	regulation of inflammatory response	19/158	479/17913	4.70269304984298e-08	1.33817743340532e-05	1.07694420954299e-05	MMP9/PGLYRP1/IL18/IL1R1/BST1/ANXA1/S100A12/S100A9/MMP8/JAK2/CR1/C3AR1/FCER1G/CD59/CD55/TNFAIP6/CST7/MAPK14/LILRA5	19	geneontology_Biological_Process	0.120253164556962
GO:0032496	GO:0032496	response to lipopolysaccharide	15/158	295/17913	5.54363830526891e-08	1.41972576997937e-05	1.14257303175963e-05	ADAM9/ADM/IL18/ALPL/LTF/SLPI/LCN2/ARG1/JAK2/CD55/TSPO/IRAK3/MAPK14/MGST1/HMGB2	15	geneontology_Biological_Process	0.0949367088607595
GO:0051092	GO:0051092	positive regulation of NF-kappaB transcription factor activity	11/158	149/17913	8.59133930752604e-08	1.87271001176717e-05	1.50712764464544e-05	AIM2/IL18/NLRC4/LTF/S100A12/S100A9/FLOT2/FLOT1/IRAK3/IL18RAP/IL18R1	11	geneontology_Biological_Process	0.069620253164557
GO:0052547	GO:0052547	regulation of peptidase activity	17/158	398/17913	8.7749004846568e-08	1.87271001176717e-05	1.50712764464544e-05	POR/MMP9/AIM2/NAIP/NLRC4/TIMP1/LTF/CTSD/S100A9/SERPINB1/SLPI/JAK2/ASPH/CR1/CST7/CSTA/MAPK14	17	geneontology_Biological_Process	0.107594936708861
GO:0050663	GO:0050663	cytokine secretion	13/158	230/17913	1.31452858904119e-07	2.58962132041114e-05	2.08408662133008e-05	AIM2/TLR5/NLRC4/ANXA1/S100A12/SERPINB1/DYSF/MMP8/CD58/CLEC4E/MAPK14/ORM1/LILRA5	13	geneontology_Biological_Process	0.0822784810126582
GO:0052548	GO:0052548	regulation of endopeptidase activity	16/158	370/17913	1.81998721560042e-07	3.32927661368048e-05	2.67934960010949e-05	POR/MMP9/AIM2/NAIP/NLRC4/TIMP1/LTF/CTSD/S100A9/SERPINB1/SLPI/JAK2/ASPH/CR1/CST7/CSTA	16	geneontology_Biological_Process	0.10126582278481
GO:0097530	GO:0097530	granulocyte migration	9/158	100/17913	2.46615039985667e-07	4.13107041367539e-05	3.32462067448012e-05	IL1R1/BST1/CD177/ANXA1/S100A12/S100A9/DYSF/C3AR1/MAPK14	9	geneontology_Biological_Process	0.0569620253164557
GO:0098542	GO:0098542	defense response to other organism	18/158	481/17913	2.58091084025015e-07	4.13107041367539e-05	3.32462067448012e-05	PGLYRP1/AIM2/TLR5/NLRC4/LTF/S100A12/S100A9/ANXA3/SLPI/CLEC4D/LCN2/ARG1/HP/BPI/CLEC4E/RNASE2/HMGB2/H2BS1	18	geneontology_Biological_Process	0.113924050632911
